d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.837919,137.8439,0.255410,0.923981,0.958632,0.03288002,-14.8307
1.839920,137.9940,0.259373,0.949887,0.984662,0.03337992,-14.7651
1.841921,138.1441,0.263510,0.976182,1.011123,0.03390151,-14.6978
1.843922,138.2941,0.267831,1.002885,1.038032,0.03444576,-14.6286
1.845923,138.4442,0.272342,1.030011,1.065408,0.03501371,-14.5576
1.847924,138.5943,0.277054,1.057580,1.093268,0.03560648,-14.4847
1.849925,138.7444,0.281977,1.085611,1.121633,0.03622524,-14.4099
1.851926,138.8944,0.287120,1.114122,1.150524,0.03687126,-14.3331
1.853927,139.0445,0.292495,1.143135,1.179962,0.03754586,-14.2544
1.855928,139.1946,0.298115,1.172672,1.209972,0.03825050,-14.1736
1.857929,139.3447,0.303991,1.202755,1.240577,0.03898668,-14.0908
1.859930,139.4947,0.310137,1.233409,1.271803,0.03975604,-14.0060
1.861931,139.6448,0.316569,1.264658,1.303677,0.04056032,-13.9190
1.863932,139.7949,0.323302,1.296528,1.336230,0.04140139,-13.8299
1.865933,139.9450,0.330353,1.329048,1.369490,0.04228123,-13.7385
1.867934,140.0950,0.337740,1.362247,1.403490,0.04320199,-13.6450
1.869935,140.2451,0.345483,1.396155,1.438265,0.04416594,-13.5491
1.871936,140.3952,0.353602,1.430804,1.473851,0.04517555,-13.4510
1.873937,140.5453,0.362120,1.466229,1.510285,0.04623344,-13.3504
1.875938,140.6953,0.371063,1.502466,1.547608,0.04734245,-13.2475
1.877939,140.8454,0.380455,1.539552,1.585864,0.04850561,-13.1421
1.879940,140.9955,0.390325,1.577527,1.625099,0.04972621,-13.0341
1.881941,141.1456,0.400705,1.616434,1.665360,0.05100777,-12.9236
1.883942,141.2956,0.411627,1.656318,1.706700,0.05235409,-12.8105
1.885943,141.4457,0.423127,1.697226,1.749175,0.05376928,-12.6947
1.887944,141.5958,0.435246,1.739207,1.792841,0.05525777,-12.5761
1.889945,141.7459,0.448024,1.782316,1.837763,0.05682436,-12.4547
1.891946,141.8959,0.461509,1.826608,1.884008,0.05847422,-12.3304
1.893947,142.0460,0.475751,1.872143,1.931646,0.06021300,-12.2031
1.895948,142.1961,0.490804,1.918985,1.980755,0.06204678,-12.0728
1.897949,142.3462,0.506730,1.967201,2.031417,0.06398220,-11.9394
1.899950,142.4962,0.523593,2.016862,2.083719,0.06602644,-11.8028
1.901951,142.6463,0.541466,2.068046,2.137756,0.06818735,-11.6630
1.903952,142.7964,0.560427,2.120833,2.193630,0.07047346,-11.5197
1.905953,142.9465,0.580564,2.175309,2.251449,0.07289408,-11.3731
1.907954,143.0965,0.601972,2.231567,2.311333,0.07545938,-11.2229
1.909955,143.2466,0.624756,2.289704,2.373407,0.07818048,-11.0690
1.911956,143.3967,0.649033,2.349824,2.437810,0.08106955,-10.9114
1.913957,143.5468,0.674931,2.412039,2.504688,0.08413992,-10.7500
1.915958,143.6968,0.702593,2.476467,2.574204,0.08740622,-10.5846
1.917959,143.8469,0.732178,2.543235,2.646532,0.09088452,-10.4151
1.919960,143.9970,0.763862,2.612477,2.721860,0.09459250,-10.2414
1.921961,144.1471,0.797841,2.684335,2.800394,0.09854963,-10.0635
1.923962,144.2971,0.834336,2.758964,2.882359,0.10277735,-9.8810
1.925963,144.4472,0.873591,2.836523,2.968000,0.10729933,-9.6940
1.927964,144.5973,0.915883,2.917185,3.057582,0.11214172,-9.5023
1.929965,144.7474,0.961522,3.001131,3.151398,0.11733344,-9.3058
1.931966,144.8974,1.010857,3.088553,3.249768,0.12290647,-9.1043
1.933967,145.0475,1.064284,3.179653,3.353043,0.12889625,-8.8976
1.935968,145.1976,1.122248,3.274641,3.461606,0.13534204,-8.6857
1.937969,145.3477,1.185258,3.373737,3.575883,0.14228738,-8.4683
1.939970,145.4977,1.253891,3.477164,3.696338,0.14978055,-8.2454
1.941971,145.6478,1.328804,3.585154,3.823487,0.15787506,-8.0169
1.943972,145.7979,1.410749,3.697936,3.957896,0.16663025,-7.7825
1.945973,145.9480,1.500588,3.815733,4.100193,0.17611182,-7.5421
1.947974,146.0980,1.599309,3.938756,4.251069,0.18639242,-7.2957
1.949975,146.2481,1.708050,4.067192,4.411291,0.19755224,-7.0432
1.951976,146.3982,1.828122,4.201188,4.581704,0.20967947,-6.7844
1.953977,146.5483,1.961040,4.340830,4.763243,0.22287074,-6.5195
1.955978,146.6983,2.108553,4.486117,4.956939,0.23723128,-6.2483
1.957979,146.8484,2.272686,4.636920,5.163925,0.25287484,-5.9709
1.959980,146.9985,2.455781,4.792928,5.385445,0.26992302,-5.6876
1.961981,147.1486,2.660543,4.953582,5.622852,0.28850393,-5.3985
1.963982,147.2986,2.890091,5.117972,5.877607,0.30874984,-5.1039
1.965983,147.4487,3.148006,5.284711,6.151269,0.33079326,-4.8044
1.967984,147.5988,3.438367,5.451763,6.445471,0.35476113,-4.5006
1.969985,147.7489,3.765772,5.616211,6.761869,0.38076631,-4.1934
1.971986,147.8989,4.135315,5.773961,7.102074,0.40889559,-3.8839
1.973987,148.0490,4.552489,5.919361,7.467529,0.43919360,-3.5734
1.975988,148.1991,5.022972,6.044722,7.859320,0.47164165,-3.2639
1.977989,148.3492,5.552214,6.139765,8.277910,0.50613130,-2.9574
1.979990,148.4992,6.144730,6.191007,8.722744,0.54243293,-2.6565
1.981991,148.6493,6.802972,6.181197,9.191715,0.58016104,-2.3645
1.983992,148.7994,7.525658,6.089004,9.680470,0.61873986,-2.0849
1.985993,148.9495,8.305474,5.889282,10.181578,0.65737574,-1.8219
1.987994,149.0995,9.126269,5.554442,10.683661,0.69504524,-1.5799
1.989995,149.2496,9.960216,5.057534,11.170700,0.73051040,-1.3637
1.991996,149.3997,10.765977,4.377496,11.621908,0.76237172,-1.1783
1.993997,149.5498,11.489516,3.506355,12.012639,0.78916507,-1.0283
1.995998,149.6998,12.069259,2.456814,12.316775,0.80949909,-0.9178
1.997999,149.8499,12.446228,1.267176,12.510568,0.82221582,-0.8501
2.000000,150.0000,12.577200,0.000000,12.577200,0.82654491,-0.8273
